,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),actual,predicted
0,5.6,3.0,4.5,1.5,1,1
1,6.5,3.0,5.8,2.2,2,2
2,7.6,3.0,6.6,2.1,2,2
3,4.7,3.2,1.3,0.2,0,0
4,5.0,3.4,1.5,0.2,0,0
5,5.8,2.7,4.1,1.0,1,1
6,5.2,3.5,1.5,0.2,0,0
7,5.5,2.6,4.4,1.2,1,1
8,6.0,3.0,4.8,1.8,2,2
9,6.1,3.0,4.6,1.4,1,1
10,6.9,3.1,5.4,2.1,2,2
11,5.4,3.0,4.5,1.5,1,1
12,4.6,3.6,1.0,0.2,0,0
13,5.0,3.0,1.6,0.2,0,0
14,6.8,3.0,5.5,2.1,2,2
15,5.8,2.7,3.9,1.2,1,1
16,4.4,3.2,1.3,0.2,0,0
17,4.6,3.4,1.4,0.3,0,0
18,4.8,3.4,1.6,0.2,0,0
19,5.1,3.8,1.6,0.2,0,0
20,5.4,3.4,1.7,0.2,0,0
21,6.7,3.0,5.2,2.3,2,2
22,5.5,2.5,4.0,1.3,1,1
23,4.8,3.0,1.4,0.1,0,0
24,6.5,2.8,4.6,1.5,1,1
25,6.3,3.3,4.7,1.6,1,1
26,5.1,3.4,1.5,0.2,0,0
27,5.5,4.2,1.4,0.2,0,0
28,5.5,2.4,3.7,1.0,1,1
29,6.6,2.9,4.6,1.3,1,1
